100
tk0001, scd001, adasfas asd, 012350115, st001, 90, 
tk0002, scd002, adasfas asd, 012350115, st003, 90, 
tk0003, scd003, asfas asd, 012350115, st001, 90, 
tk0004, scd005, adasfas asd, 012350115, st001, 120, 
tk0005, scd006, adasasdgfas gasd, 012350115, st002, 90, 
tk0006, scd004, adfas asd, 012350115, st001, 90, 
tk0007, scd009, adasfas asd, 012350115, st003, 90, 
tk0008, scd007, adasf as asd, 012350115, st002, 120, 
tk0009, scd008, adasfass asd, 012350115, st001, 90, 
tk0010, scd011, adasfas asd, 012350115, st001, 90, 
tk0011, scd012, adaa sfs asd, 012350115, st002, 90, 
tk0012, scd011, adasfas asd, 012350115, st004, 90, 
tk0013, scd013, adasfas asd, 012350115, st001, 120, 
tk0014, scd014, adasfas asd, 012350115, st004, 90, 
tk0015, scd015, ad asfas asd, 012350115, st001, 90, 
tk0016, scd017, adasfas asd, 012350115, st002, 120, 
tk0017, scd019, adasfas asd, 012350115, st004, 90, 
tk0018, scd018, adasfas asd, 012350115, st003, 90, 
tk0019, scd015, adaas asas asd, 012350115, st001, 90, 
tk0020, scd016, adasfas asd, 012350115, st003, 120, 
tk0021, scd020, adasfas asd, 012350115, st001, 90, 
tk0022, scd007, adasfas asd, 012350115, st003, 90, 
tk0023, scd021, asfas asd, 012350115, st001, 90, 
tk0024, scd018, adasfas asd, 012350115, st001, 120, 
tk0025, scd022, adasasdgfas gasd, 012350115, st002, 90, 
tk0026, scd021, adfas asd, 012350115, st001, 90, 
tk0027, scd019, adasfas asd, 012350115, st003, 90, 
tk0028, scd023, adasf as asd, 012350115, st002, 120, 
tk0029, scd024, adasfass asd, 012350115, st001, 90, 
tk0030, scd025, adasfas asd, 012350115, st001, 90, 
tk0031, scd007, adaa sfs asd, 012350115, st002, 90, 
tk0032, scd025, adasfas asd, 012350115, st004, 90, 
tk0033, scd024, adasfas asd, 012350115, st001, 120, 
tk0034, scd022, adasfas asd, 012350115, st004, 90, 
tk0035, scd023, ad asfas asd, 012350115, st001, 90, 
tk0036, scd020, adasfas asd, 012350115, st002, 120, 
tk0037, scd018, adasfas asd, 012350115, st004, 90, 
tk0038, scd019, adasfas asd, 012350115, st003, 90, 
tk0039, scd015, adaas asas asd, 012350115, st001, 90, 
tk0040, scd013, adasfas asd, 012350115, st003, 120, 
tk0041, scd014, adasfas asd, 012350115, st001, 90, 
tk0042, scd017, adasfas asd, 012350115, st003, 90, 
tk0043, scd023, asfas asd, 012350115, st001, 90, 
tk0044, scd024, adasfas asd, 012350115, st001, 120, 
tk0045, scd019, adasasdgfas gasd, 012350115, st002, 90, 
tk0046, scd020, adfas asd, 012350115, st001, 90, 
tk0047, scd021, adasfas asd, 012350115, st003, 90, 
tk0048, scd021, adasf as asd, 012350115, st002, 120, 
tk0049, scd013, adasfass asd, 012350115, st001, 90, 
tk0050, scd014, adasfas asd, 012350115, st001, 90, 
tk0051, scd015, adaa sfs asd, 012350115, st002, 90, 
tk0052, scd016, adasfas asd, 012350115, st004, 90, 
tk0053, scd017, adasfas asd, 012350115, st001, 120, 
tk0054, scd018, adasfas asd, 012350115, st004, 90, 
tk0055, scd019, ad asfas asd, 012350115, st001, 90, 
tk0056, scd020, adasfas asd, 012350115, st002, 120, 
tk0057, scd021, adasfas asd, 012350115, st004, 90, 
tk0058, scd022, adasfas asd, 012350115, st003, 90, 
tk0059, scd023, adaas asas asd, 012350115, st001, 90, 
tk0060, scd003, adasfas asd, 012350115, st003, 120, 
tk0061, scd001, adasfas asd, 012350115, st001, 90, 
tk0062, scd002, adasfas asd, 012350115, st003, 90, 
tk0063, scd003, asfas asd, 012350115, st001, 90, 
tk0064, scd005, adasfas asd, 012350115, st001, 120, 
tk0065, scd006, adasasdgfas gasd, 012350115, st002, 90, 
tk0066, scd004, adfas asd, 012350115, st001, 90, 
tk0067, scd007, adasfas asd, 012350115, st003, 90, 
tk0068, scd007, adasf as asd, 012350115, st002, 120, 
tk0069, scd008, adasfass asd, 012350115, st001, 90, 
tk0070, scd011, adasfas asd, 012350115, st001, 90, 
tk0071, scd012, adaa sfs asd, 012350115, st002, 90, 
tk0072, scd011, adasfas asd, 012350115, st004, 90, 
tk0073, scd004, adasfas asd, 012350115, st001, 120, 
tk0074, scd010, adasfas asd, 012350115, st004, 90, 
tk0075, scd002, ad asfas asd, 012350115, st001, 90, 
tk0076, scd007, adasfas asd, 012350115, st002, 120, 
tk0077, scd001, adasfas asd, 012350115, st004, 90, 
tk0078, scd009, adasfas asd, 012350115, st003, 90, 
tk0079, scd012, adaas asas asd, 012350115, st001, 90, 
tk0080, scd003, adasfas asd, 012350115, st003, 120, 
tk0081, scd001, adasfas asd, 012350115, st001, 90, 
tk0082, scd002, adasfas asd, 012350115, st003, 90, 
tk0083, scd003, asfas asd, 012350115, st001, 90, 
tk0084, scd005, adasfas asd, 012350115, st001, 120, 
tk0085, scd006, adasasdgfas gasd, 012350115, st002, 90, 
tk0086, scd004, adfas asd, 012350115, st001, 90, 
tk0087, scd009, adasfas asd, 012350115, st003, 90, 
tk0088, scd007, adasf as asd, 012350115, st002, 120, 
tk0089, scd008, adasfass asd, 012350115, st001, 90, 
tk0090, scd011, adasfas asd, 012350115, st001, 90, 
tk0091, scd012, adaa sfs asd, 012350115, st002, 90, 
tk0092, scd011, adasfas asd, 012350115, st004, 90, 
tk0093, scd004, adasfas asd, 012350115, st001, 120, 
tk0094, scd010, adasfas asd, 012350115, st004, 90, 
tk0095, scd002, ad asfas asd, 012350115, st001, 90, 
tk0096, scd007, adasfas asd, 012350115, st002, 120, 
tk0097, scd001, adasfas asd, 012350115, st004, 90, 
tk0098, scd009, adasfas asd, 012350115, st003, 90, 
tk0099, scd012, adaas asas asd, 012350115, st001, 90, 
tk0100, scd003, adasfas asd, 012350115, st003, 120, 
